date,ticker,price
2024-01-01,AAPL,150.54701784852347
2024-01-02,AAPL,150.57260622286535
2024-01-03,AAPL,151.32660578755684
2024-01-04,AAPL,152.51777220251415
2024-01-05,AAPL,151.92647795500403
2024-01-06,AAPL,150.36115383384848
2024-01-07,AAPL,149.19783895995158
2024-01-08,AAPL,149.14932149840487
2024-01-09,AAPL,148.1617396057324
2024-01-10,AAPL,148.2939613218559
2024-01-11,AAPL,146.929430482886
2024-01-12,AAPL,147.11385180093362
2024-01-13,AAPL,147.58852109247383
2024-01-14,AAPL,148.59439852143723
2024-01-15,AAPL,148.8149962626668
2024-01-16,AAPL,148.29680827472004
2024-01-17,AAPL,148.81175311794146
2024-01-18,AAPL,148.9522994688912
2024-01-19,AAPL,149.17998773187878
2024-01-20,AAPL,148.20699933067766
